"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
197.8,"s17",2,"femur","cortex","L","L1","F",1,"s17Lf"
236,"s17",2,"femur","cortex","L","L2","F",2,"s17Lf"
282.23,"s17",2,"femur","cortex","L","L3","F",3,"s17Lf"
208.67,"s17",2,"femur","cortex","L","L4","F",4,"s17Lf"
152.83,"s17",2,"femur","cortex","L","L5","F",5,"s17Lf"
178.98,"s17",2,"femur","cortex","R","L1","F",1,"s17Rf"
248.68,"s17",2,"femur","cortex","R","L2","F",2,"s17Rf"
319.25,"s17",2,"femur","cortex","R","L3","F",3,"s17Rf"
252.09,"s17",2,"femur","cortex","R","L4","F",4,"s17Rf"
173.75,"s17",2,"femur","cortex","R","L5","F",5,"s17Rf"
209.6,"s1",2,"femur","cortex","L","L1","M",1,"s1Lf"
264.2,"s1",2,"femur","cortex","L","L2","M",2,"s1Lf"
291.38,"s1",2,"femur","cortex","L","L3","M",3,"s1Lf"
258.89,"s1",2,"femur","cortex","L","L4","M",4,"s1Lf"
190.2,"s1",2,"femur","cortex","L","L5","M",5,"s1Lf"
164.15,"s1",2,"femur","cortex","R","L1","M",1,"s1Rf"
156.58,"s1",2,"femur","cortex","R","L2","M",2,"s1Rf"
186.85,"s1",2,"femur","cortex","R","L3","M",3,"s1Rf"
258.66,"s1",2,"femur","cortex","R","L4","M",4,"s1Rf"
205.03,"s1",2,"femur","cortex","R","L5","M",5,"s1Rf"
213.78,"s20",2,"femur","cortex","L","L1","M",1,"s20Lf"
288.8,"s20",2,"femur","cortex","L","L2","M",2,"s20Lf"
354.32,"s20",2,"femur","cortex","L","L3","M",3,"s20Lf"
241.15,"s20",2,"femur","cortex","L","L4","M",4,"s20Lf"
184.49,"s20",2,"femur","cortex","L","L5","M",5,"s20Lf"
212.7,"s20",2,"femur","cortex","R","L1","M",1,"s20Rf"
246.78,"s20",2,"femur","cortex","R","L2","M",2,"s20Rf"
359.8,"s20",2,"femur","cortex","R","L3","M",3,"s20Rf"
204.4,"s20",2,"femur","cortex","R","L4","M",4,"s20Rf"
76.28,"s20",2,"femur","cortex","R","L5","M",5,"s20Rf"
210.03,"s3",2,"femur","cortex","L","L1","M",1,"s3Lf"
249.37,"s3",2,"femur","cortex","L","L3","M",3,"s3Lf"
166.58,"s3",2,"femur","cortex","L","L4","M",4,"s3Lf"
217.68,"s3",2,"femur","cortex","L","L5","M",5,"s3Lf"
161.15,"s3",2,"femur","cortex","R","L1","M",1,"s3Rf"
221.12,"s3",2,"femur","cortex","R","L2","M",2,"s3Rf"
218.01,"s3",2,"femur","cortex","R","L3","M",3,"s3Rf"
268.18,"s3",2,"femur","cortex","R","L4","M",4,"s3Rf"
173.26,"s3",2,"femur","cortex","R","L5","M",5,"s3Rf"
181.11,"s5",2,"femur","cortex","L","L1","M",1,"s5Lf"
185.27,"s5",2,"femur","cortex","L","L2","M",2,"s5Lf"
263.61,"s5",2,"femur","cortex","L","L3","M",3,"s5Lf"
173.2,"s5",2,"femur","cortex","L","L4","M",4,"s5Lf"
163.37,"s5",2,"femur","cortex","L","L5","M",5,"s5Lf"
183.41,"s5",2,"femur","cortex","R","L1","M",1,"s5Rf"
188.2,"s5",2,"femur","cortex","R","L2","M",2,"s5Rf"
218.87,"s5",2,"femur","cortex","R","L3","M",3,"s5Rf"
165.68,"s5",2,"femur","cortex","R","L4","M",4,"s5Rf"
154.24,"s5",2,"femur","cortex","R","L5","M",5,"s5Rf"
182.11,"s7",2,"femur","cortex","L","L1","M",1,"s7Lf"
183.12,"s7",2,"femur","cortex","L","L2","M",2,"s7Lf"
349.44,"s7",2,"femur","cortex","L","L3","M",3,"s7Lf"
228.37,"s7",2,"femur","cortex","L","L4","M",4,"s7Lf"
195.3,"s7",2,"femur","cortex","L","L5","M",5,"s7Lf"
163.92,"s7",2,"femur","cortex","R","L1","M",1,"s7Rf"
256.06,"s7",2,"femur","cortex","R","L2","M",2,"s7Rf"
304.41,"s7",2,"femur","cortex","R","L3","M",3,"s7Rf"
233.14,"s7",2,"femur","cortex","R","L4","M",4,"s7Rf"
170.62,"s7",2,"femur","cortex","R","L5","M",5,"s7Rf"
125.95,"s8",2,"femur","cortex","L","L1","F",1,"s8Lf"
236.51,"s8",2,"femur","cortex","L","L2","F",2,"s8Lf"
217.38,"s8",2,"femur","cortex","L","L3","F",3,"s8Lf"
233.59,"s8",2,"femur","cortex","L","L4","F",4,"s8Lf"
149.93,"s8",2,"femur","cortex","L","L5","F",5,"s8Lf"
118.67,"s8",2,"femur","cortex","R","L1","F",1,"s8Rf"
178.24,"s8",2,"femur","cortex","R","L2","F",2,"s8Rf"
265.93,"s8",2,"femur","cortex","R","L3","F",3,"s8Rf"
147.75,"s8",2,"femur","cortex","R","L4","F",4,"s8Rf"
58.98,"s8",2,"femur","cortex","R","L5","F",5,"s8Rf"
184.79,"s10",2,"femur","locking","L","L1","M",1,"s10Lf"
146.02,"s10",2,"femur","locking","L","L2","M",2,"s10Lf"
282.79,"s10",2,"femur","locking","L","L3","M",3,"s10Lf"
260.85,"s10",2,"femur","locking","L","L4","M",4,"s10Lf"
215.61,"s10",2,"femur","locking","L","L5","M",5,"s10Lf"
145.8,"s10",2,"femur","locking","R","L1","M",1,"s10Rf"
257.49,"s10",2,"femur","locking","R","L2","M",2,"s10Rf"
224.96,"s10",2,"femur","locking","R","L3","M",3,"s10Rf"
160.86,"s10",2,"femur","locking","R","L4","M",4,"s10Rf"
182.29,"s10",2,"femur","locking","R","L5","M",5,"s10Rf"
148.85,"s15",2,"femur","locking","L","L1","M",1,"s15Lf"
124.43,"s15",2,"femur","locking","L","L2","M",2,"s15Lf"
174.81,"s15",2,"femur","locking","L","L3","M",3,"s15Lf"
213.47,"s15",2,"femur","locking","L","L4","M",4,"s15Lf"
163.19,"s15",2,"femur","locking","L","L5","M",5,"s15Lf"
151.51,"s15",2,"femur","locking","R","L1","M",1,"s15Rf"
155.78,"s15",2,"femur","locking","R","L2","M",2,"s15Rf"
272.59,"s15",2,"femur","locking","R","L3","M",3,"s15Rf"
141.44,"s15",2,"femur","locking","R","L4","M",4,"s15Rf"
136.32,"s15",2,"femur","locking","R","L5","M",5,"s15Rf"
162.66,"s16",2,"femur","locking","L","L1","M",1,"s16Lf"
261.98,"s16",2,"femur","locking","L","L2","M",2,"s16Lf"
260.43,"s16",2,"femur","locking","L","L3","M",3,"s16Lf"
133.91,"s16",2,"femur","locking","L","L4","M",4,"s16Lf"
153.34,"s16",2,"femur","locking","L","L5","M",5,"s16Lf"
154.08,"s16",2,"femur","locking","R","L1","M",1,"s16Rf"
184.08,"s16",2,"femur","locking","R","L2","M",2,"s16Rf"
231.26,"s16",2,"femur","locking","R","L3","M",3,"s16Rf"
214.55,"s16",2,"femur","locking","R","L4","M",4,"s16Rf"
153.01,"s16",2,"femur","locking","R","L5","M",5,"s16Rf"
133.04,"s18",2,"femur","locking","L","L1","M",1,"s18Lf"
74.01,"s18",2,"femur","locking","L","L2","M",2,"s18Lf"
284.01,"s18",2,"femur","locking","L","L3","M",3,"s18Lf"
197.29,"s18",2,"femur","locking","L","L4","M",4,"s18Lf"
159.01,"s18",2,"femur","locking","L","L5","M",5,"s18Lf"
163.27,"s18",2,"femur","locking","R","L1","M",1,"s18Rf"
216.67,"s18",2,"femur","locking","R","L2","M",2,"s18Rf"
173.26,"s18",2,"femur","locking","R","L3","M",3,"s18Rf"
147.85,"s18",2,"femur","locking","R","L4","M",4,"s18Rf"
163.91,"s18",2,"femur","locking","R","L5","M",5,"s18Rf"
179.37,"s4",2,"femur","locking","L","L1","M",1,"s4Lf"
273.52,"s4",2,"femur","locking","L","L2","M",2,"s4Lf"
390.1,"s4",2,"femur","locking","L","L3","M",3,"s4Lf"
267.42,"s4",2,"femur","locking","L","L4","M",4,"s4Lf"
242.11,"s4",2,"femur","locking","L","L5","M",5,"s4Lf"
222.46,"s4",2,"femur","locking","R","L1","M",1,"s4Rf"
248.42,"s4",2,"femur","locking","R","L2","M",2,"s4Rf"
296.11,"s4",2,"femur","locking","R","L3","M",3,"s4Rf"
248.28,"s4",2,"femur","locking","R","L4","M",4,"s4Rf"
190.88,"s4",2,"femur","locking","R","L5","M",5,"s4Rf"
191.24,"s6",2,"femur","locking","L","L1","F",1,"s6Lf"
228.86,"s6",2,"femur","locking","L","L2","F",2,"s6Lf"
279.86,"s6",2,"femur","locking","L","L3","F",3,"s6Lf"
248.84,"s6",2,"femur","locking","L","L4","F",4,"s6Lf"
177.87,"s6",2,"femur","locking","L","L5","F",5,"s6Lf"
97.95,"s6",2,"femur","locking","R","L1","F",1,"s6Rf"
186.69,"s6",2,"femur","locking","R","L2","F",2,"s6Rf"
226.69,"s6",2,"femur","locking","R","L3","F",3,"s6Rf"
269.69,"s6",2,"femur","locking","R","L4","F",4,"s6Rf"
210.5,"s6",2,"femur","locking","R","L5","F",5,"s6Rf"
189.11,"s9",2,"femur","locking","L","L1","F",1,"s9Lf"
246.05,"s9",2,"femur","locking","L","L2","F",2,"s9Lf"
430.24,"s9",2,"femur","locking","L","L3","F",3,"s9Lf"
242.53,"s9",2,"femur","locking","L","L4","F",4,"s9Lf"
200.39,"s9",2,"femur","locking","L","L5","F",5,"s9Lf"
209.14,"s9",2,"femur","locking","R","L1","F",1,"s9Rf"
195.08,"s9",2,"femur","locking","R","L2","F",2,"s9Rf"
354.71,"s9",2,"femur","locking","R","L3","F",3,"s9Rf"
316.68,"s9",2,"femur","locking","R","L4","F",4,"s9Rf"
161.15,"s9",2,"femur","locking","R","L5","F",5,"s9Rf"
